"Date","Price","sret"
"5/30/2003",5.3,-0.0275229357798166
"6/2/2003",5.4,0.018867924528302
"6/3/2003",5.65,0.0462962962962963
"6/4/2003",5.85,0.0353982300884954
"6/5/2003",5.75,-0.017094017094017
"6/6/2003",5.75,0
"6/9/2003",5.8,0.00869565217391301
"6/10/2003",5.95,0.0258620689655173
"6/11/2003",5.85,-0.0168067226890757
"6/12/2003",6,0.0256410256410257
"6/13/2003",6.05,0.0083333333333333
"6/16/2003",6.2,0.0247933884297521
"6/17/2003",6.55,0.0564516129032257
"6/18/2003",6.6,0.00763358778625951
"6/19/2003",6.7,0.0151515151515152
"6/20/2003",6.65,-0.00746268656716415
"6/23/2003",6.8,0.0225563909774435
"6/24/2003",6.65,-0.0220588235294117
"6/25/2003",6.6,-0.00751879699248131
"6/26/2003",6.75,0.0227272727272728
"6/27/2003",6.6,-0.0222222222222223
"6/30/2003",6.65,0.00757575757575768
"7/2/2003",7,0.0526315789473684
"7/3/2003",7.3,0.0428571428571428
"7/4/2003",7.4,0.0136986301369864
"7/7/2003",7.45,0.00675675675675673
"7/8/2003",7.8,0.046979865771812
"7/9/2003",7.45,-0.0448717948717948
"7/10/2003",6.95,-0.0671140939597315
"7/11/2003",7.3,0.0503597122302158
"7/15/2003",7.7,0.0547945205479453
"7/16/2003",7.75,0.00649350649350647
"7/17/2003",7.6,-0.0193548387096775
"7/18/2003",7.4,-0.0263157894736841
"7/21/2003",7.2,-0.027027027027027
"7/23/2003",6.9,-0.0416666666666666
"7/24/2003",6.9,0
"7/25/2003",7.05,0.0217391304347825
"7/28/2003",6.75,-0.0425531914893617
"7/29/2003",6.8,0.00740740740740738
"7/30/2003",6.7,-0.0147058823529411
"7/31/2003",6.95,0.0373134328358209
"8/1/2003",7.3,0.0503597122302158
"8/4/2003",7.3,0
"8/5/2003",7.05,-0.0342465753424658
"8/6/2003",6.95,-0.0141843971631205
"8/7/2003",7.1,0.0215827338129496
"8/8/2003",7.1,0
"8/11/2003",7.4,0.0422535211267607
"8/13/2003",7.45,0.00675675675675673
"8/14/2003",7.35,-0.0134228187919464
"8/15/2003",7.4,0.00680272108843547
"8/18/2003",7.25,-0.0202702702702703
"8/19/2003",7.35,0.0137931034482758
"8/20/2003",7.4,0.00680272108843547
"8/21/2003",7.4,0
"8/22/2003",7.4,0
"8/25/2003",7.3,-0.0135135135135136
"8/26/2003",7.3,0
"8/27/2003",7.25,-0.00684931506849313
"8/28/2003",7.35,0.0137931034482758
"8/29/2003",7.3,-0.00680272108843535
"9/1/2003",7.35,0.00684931506849313
"9/2/2003",7.35,0
"9/3/2003",7.2,-0.0204081632653061
"9/4/2003",7.25,0.00694444444444442
"9/5/2003",7.65,0.0551724137931035
"9/8/2003",7.7,0.00653594771241828
"9/9/2003",7.85,0.0194805194805194
"9/10/2003",7.85,0
"9/11/2003",7.75,-0.0127388535031847
"9/12/2003",7.95,0.0258064516129033
"9/15/2003",7.8,-0.0188679245283019
"9/16/2003",7.8,0
"9/17/2003",7.65,-0.0192307692307692
"9/18/2003",7.75,0.0130718954248366
"9/19/2003",7.85,0.0129032258064516
"9/22/2003",7.9,0.00636942675159245
"9/23/2003",7.8,-0.0126582278481013
"9/24/2003",7.9,0.0128205128205129
"9/25/2003",7.9,0
"9/26/2003",8.05,0.0189873417721519
"9/29/2003",8.05,0
"9/30/2003",8.3,0.031055900621118
"10/1/2003",8.9,0.072289156626506
