set	klse
418.85	750.39
423.61	750.57
426.45	753.39
422.44	748.51
417.39	746.79
418.52	747.42
406.47	743.9
403.31	746.27
395.46	743.35
393.88	726.5
398.53	717.21
381.21	705.04
383.02	711.58
389.1	725.44
390.78	743.36
395.15	739.35
397.79	741.55
401.1	744.62
398.75	735.78
403.22	743.58
402.97	743.17
397.97	738.85
400.66	739.85
399.36	739.13
392.55	734.36
394.32	731.17
397.91	733.87
394.27	726.48
383.07	716.57
387.96	724.32
374.44	715.1
366.47	717.71
366.48	720.98
374.08	721.9
376.02	721.59
376.68	723.57
370.46	719.53
362.14	721.15
362.66	719.18
367.04	721.65
360.03	722.5
367.07	723.18
366.47	729.29
371.19	729.99
371.62	734.07
373.03	736.6
370.21	736.54
373.25	733.98
372.22	730.79
368.32	730.01
367.01	729.99
369.02	728.49
370.14	728.73
365.13	724.72
362.14	715.14
361.16	711.36
357.36	713.4
355.59	712.95
351.94	707.85
350.05	705.95
353.55	694.09
353.23	683.2
360.61	687.82
361.35	689.7
361.49	694.11
357.15	688.29
351.88	684.29
359.3	690.48
354	677.21
352.34	675.56
351.52	672.64
347.97	662.48
340.33	652.41
336	636.75
335.82	639.83
338.72	647.36
331.79	638.01
333.69	644.99
335.43	646.47
336.55	645.77
340.92	644.09
335.88	642.09
337.84	643.74
338.37	641.53
333.75	635.14
330.41	637.78
323.86	630.01
328.29	624.16
332.8	634.46
333.18	638.93
342.46	651.11
344.28	652.41
346.21	654.33
346.59	655.8
348.46	655.68
357.42	662.78
353.95	660.94
355	657.74
357.22	659.57
357.68	659.57
358.8	657.38
355.77	653.94
353.8	658.65
357.46	655.76
355	656.68
350.36	653.17
345.07	651.7
343.67	646.94
348.95	646.15
356.24	647.88
357.1	643.91
353.62	637.43
352.18	637.17
358.44	638.21
362.59	639.12
364.53	643.31
361.21	640.68
361.35	632.42
364.29	630.86
364.9	629.22
366.67	624.26
364.19	616.46
364.94	618.37
365.35	637.77
365.46	635.17
360.99	634.28
356.2	632.2
353.93	629.47
352.83	635.63
350.62	635.81
350.25	636.79
350.01	638.03
350.55	639.2
350.93	641.16
354.96	648.07
356.48	650.39
351.52	632.43
357.23	633.5
364.15	627.89
365.51	626.17
360.41	625.13
358.76	626.58
358.76	626.58
364.05	651.48
373.33	661.41
371.82	668.21
370.48	670.14
367.16	670.53
371.45	666.36
375.91	675.87
373.17	672.41
376.56	670.78
376.3	668.81
370.8	664.62
374.76	671.63
369.69	665.44
373.28	668.18
379.1	664.95
378.95	661.25
375.48	658.46
379.14	659.95
370.25	656.54
368.71	656.95
370.45	657.45
371.18	660.96
364.42	655.32
359.53	654.49
362.09	651.56
356.76	653.13
356.02	650.71
358.89	652.44
361.32	646.8
367.67	649.22
359.9	643.07
358.96	642.43
358.48	635.66
353.29	624.78
350.98	619.22
352.44	629.1
353.48	627.46
358.24	628.55
354.61	622.61
362.85	627.08
361.13	627.94
364.24	632.03
363.62	632.17
361.28	633.13
363.74	629.66
368.14	632.99
368.94	632.84
369.53	634.96
364.55	635.72
362.22	627.11
363.02	628.97
365.12	628.54
371.93	631.21
375.82	640.08
376.2	634.41
375.02	629.92
383.36	629.69
386.54	633.77
384.63	631.37
384.5	635.61
385.5	634.3
378.97	632.99
375.39	629.62
369.71	624.66
368.53	627.73
368.85	624.18
372.92	628.04
374.63	630.37
375.24	627.26
380.05	631.83
379.45	632.28
378.2	630.84
384.32	630.14
383.49	633.95
386.79	633.95
383	636.26
379.03	636.68
382.97	636.96
387.37	640.37
388.62	642.25
395.52	650.88
396.88	655.74
400.69	652.11
402.98	664
403.4	672.05
403.82	671.46
404.78	671.84
403.69	674.57
412.68	672.84
415.63	682.43
418.21	681.57
419.28	684.41
424.05	682.07
422.6	688.61
431.73	690.32
427.97	689.94
429.75	683.27
442.3	685.06
446.2	683.76
454.19	681.69
452.66	682.44
458.79	684.91
450.02	678.73
453.89	682.32
459.34	682.72
457.51	691.45
461.82	691.96
477.73	703.26
489.8	721.93
495.72	725.11
489.33	730.4
496.64	727
482.52	725.67
474.28	723.85
484.39	723.9
494.2	729.39
503.19	724.35
495.08	715.65
493.04	716.52
487.44	719.66
488.58	712.86
480.44	712.87
478.9	710.37
484.86	710.53
480.48	708.24
478.29	711.68
474.9	720.71
484.11	720.56
491.54	723.03
494.84	723.24
489.99	722.23
489.77	718.91
498.38	719.79
503.2	722.21
513.19	726.83
525.15	724.23
518.83	727.46
519.04	728.51
520.51	728.84
525.94	731.56
521.1	732.24
530.21	739.96
534.81	743.35
529.53	742.26
531.06	741.02
525.82	744.62
535.91	746.49
537.71	743.3
541.9	742.02
539.88	745.17
545.43	752.26
557.81	756.48
564.41	748.86
557.55	742.83
560.57	736.23
561.66	743
568.37	740.94
566.54	743.01
568.83	741.76
558.7	747
553.32	743.43
567.21	744.17
562.19	738.36
566.13	737.24
575.55	744.99
576.68	742.67
580.87	742.22
580.93	736.16
578.98	733.45
569.75	737.64
567.02	737.43
558.34	740.2
544.36	742.73
544.39	748.55
560.74	759.62
573.63	779.41
582.15	790.66
578.59	791.74
568.47	782.63
576.1	783.21
583.61	784.12
588.6	781.05
592.78	781.45
593.02	790.31
604.77	805.11
615.68	803.52
615.39	805.64
624.06	809.97
624.37	812.1
639.45	817.12
659.96	813.09
665.06	815.99
673.7	813.49
667.54	809.14
671	806.78
664.36	800.96
647.55	795.28
653.49	790.31
658.15	791.49
657.38	792.23
640.84	781.95
636.75	782.17
619.03	765.95
614.23	777.21
613.43	784.47
635.25	778.37
646.03	779.28
641.15	790.56
646.64	797.8
659.43	795.57
659.29	790.13
664.36	784.03
667.08	788.47
674	793.6
674.45	791.94
689.05	788.01
691.88	782.08
687.88	775.13
700.93	766.59
709.15	769.75
718.33	775.3
718.47	777.63
723.39	777.37
734.89	780.02
746.81	787.8
764.23	792.72
772.15	793.94
790.93	792.66
769.68	787.29
750.97	805.76
773.55	813.2
783.44	825.42
794.01	823.68
792.23	818.42
790.84	815.98
767.39	814.8
778.44	817.27
774.67	818.91
771.88	824.66
725.56	827.87
739.47	823.27
722.14	819.85
714.04	817.11
698.9	818.94
718.06	804.83
734.55	807.57
711.15	815.42
732.05	817.79
739.64	818.22
753.24	818.22
748.16	825.65
755.18	825.91
738.92	828.17
748.83	845.8
742.33	857.15
732.97	858.66
724.86	861.72
720.28	874.82
704.65	872.03
697.92	885.34
716.3	879.24
705.25	882.07
701.75	894.45
696.24	877.2
700.59	882.33
704.46	880.85
710.66	882.96
705.29	875.83
707.74	879.5
695.08	884.55
678.42	890.29
669.8	885.7
674.41	890.14
687.19	901.47
681.27	904.45
681.34	908.96
679.22	897.87
677.61	895.31
664.66	890.14
665.25	895.12
645.8	899.58
649.21	901.52
647.3	901.85
671.92	887.08
693.12	887.34
709.89	889.6
698.82	882.34
691.69	884.48
691.39	883.09
701.72	879.78
712.2	861.81
704.65	855.76
713.95	861.33
706.65	864.02
690.96	871.63
681.88	875.5
667.61	870.12
680.89	868.32
672.34	861.57
656.38	849.72
648.15	838.21
634.01	842.77
636.8	835.37
605.62	813.44
618.1	810.16
622.01	818.72
611.23	803.11
609.72	793.97
581.61	781.05
582.51	783.27
614.99	793.83
599.88	788.87
615.41	791.53
608.9	794.39
601.51	796.48
609.6	799.25
630.72	811.74
638.59	808.44
641.05	810.67
635.01	812.27
627.54	798.58
